time,total_energy,core_energy,persistence
0,56.76041,0,NaN
5,53.18585,2.7461424,inf
10,50.871994,0.3145292,inf
15,48.610043,0.1626343,inf
20,45.799496,1.0467669,inf
25,43.985897,0.29446635,inf
30,40.92155,0.32930943,inf
35,39.30558,0.08471039,inf
40,37.6689,0.38877094,inf
45,36.3469,0.7363543,inf
50,33.966843,0.12520206,inf
55,31.902496,0.98292273,inf
60,30.824877,0.27093,inf
65,29.718948,0.2443889,inf
70,27.990488,0.48080075,inf
75,26.072676,0.36829573,inf
80,24.901083,0.6045543,inf
85,24.243116,0.4111996,inf
90,22.928366,0.3377751,inf
95,21.466776,0.33097434,inf
100,20.389465,0.14982085,inf
