time,fractal_dim,spiral_dim,toroid_dim,coupling_strength
0,2.9985137,3.4887342,2.9985137,0
0.5,2.9229984,2.8819523,2.9229,0
1,2.8737948,3.4932725,2.8736331,0
1.5,2.9577832,2.9218223,2.9543617,0
2,2.9549997,3.4903073,2.9467373,0
2.5,2.8624449,2.8536477,2.856985,0
3,2.8887317,3.4899104,2.859508,0
3.5,2.8649738,2.8338916,2.871014,0
4,2.8749893,3.4890928,2.8544242,0
4.5,2.9444432,2.9592924,2.9459932,0.000009298325
5,3.0692933,3.4843473,3.0134232,0.0001938343
5.5,2.852831,2.8915703,2.6959107,0.0024573803
6,2.7345994,3.4796999,2.3143804,0.019009113
6.5,2.846974,2.6349027,2.3701215,0.08805585
7,3.161482,3.4890494,2.8710656,0.22274256
7.5,3.4597929,3.097152,3.3817353,0.21261597
8,3.7395823,3.487954,3.538501,0.1743362
8.5,3.834279,3.8435419,3.4562063,0.28256488
9,3.5882082,3.4649775,3.2911618,0.31325817
9.5,3.4803362,3.1711452,3.069408,0.14181376
10,3.2706401,3.4782119,3.0593417,0.25606132
10.5,3.5046177,3.1504312,3.322641,0.25792933
11,3.195522,3.472892,3.283556,0.07058215
11.5,3.0821323,2.672271,3.005551,0.032723665
12,2.3909812,3.4722197,2.354996,0.323977
12.5,2.0270562,1.9874098,1.811847,0.17771363
13,2.1471155,3.4797518,2.2077603,0.49128723
13.5,2.227543,1.8961267,2.0106006,0.46759367
14,2.8228338,3.501589,2.8099127,0.17405319
14.5,2.8659866,3.2824934,2.8282905,0.021307468
15,2.8076572,3.4634516,2.8189886,0.10425639
15.5,2.1001658,2.557148,2.696115,0.24862242
16,2.3172429,3.465238,2.4495819,0.43285275
16.5,2.3159552,2.3558407,2.5677824,0.5019231
17,2.6315405,3.4742937,2.7673774,0.27381778
17.5,3.0128753,2.8873415,2.8658736,0.062086582
18,2.597245,3.4553938,2.8129268,0.03872037
18.5,2.2835531,2.1427858,2.6130095,0.1777215
19,2.535093,3.4782267,2.0899742,0.37326908
19.5,2.8942792,2.7254589,3.252343,0.3418243
20,3.9351327,3.503226,3.0989566,0.17692518
20.5,4.738838,4.8908906,4.9355707,0.24465752
21,4.9958305,3.468594,4.470183,0
21.5,4.4746585,4.8198495,4.9003367,0.011412144
22,3.9575043,3.4500854,3.9865932,0.13858175
22.5,3.8275487,3.7410705,4.0252123,0.3237946
23,3.3968256,3.4594848,3.4377077,0.28393245
23.5,3.8275769,3.2232702,3.8704088,0.14154315
24,2.7091649,3.4707332,2.8475904,0.2946117
24.5,2.7854545,2.293767,2.8215992,0.38744235
25,1.6927817,3.4816833,1.6546409,0.43468654
25.5,1.5053183,1.3124481,1.7136877,0.027253628
26,1.9330119,3.517804,1.5407982,0.03227043
26.5,2.1862803,2.630056,2.4363654,0.2566867
27,3.282188,3.497882,3.1387866,0.53211594
27.5,2.260672,3.2424011,2.5707645,0.4437852
28,2.5204906,3.4542193,2.910629,0.60215807
28.5,1.6068218,2.0119855,1.9504583,0.6171317
29,1.8331363,3.4663754,2.1570985,0.44207215
29.5,2.292505,1.9703984,2.3024125,0.295748
30,2.381428,3.4763384,2.3051372,0.08514738
30.5,2.5482836,2.3844268,2.832251,0.51298594
31,1.6412506,3.4460163,1.1370904,0.41848135
31.5,2.0680892,1.1276233,2.6313348,0.20884585
32,2.358891,3.5004015,1.3669958,0.1024611
32.5,3.1342385,3.28177,3.5821207,0.08084583
33,4.9006047,3.495185,3.771504,0.075472355
33.5,4.8296413,5,5,0.05644512
34,4.4640265,3.4557042,4.593201,0.22885561
34.5,4.232057,4.18749,4.450595,0.17451859
35,3.480977,3.447469,3.7537246,0.1601243
35.5,4.062651,3.3334417,3.7567692,0.3345418
36,3.3931992,3.4742413,3.7361057,0.2806995
36.5,3.8919516,3.3717756,3.736382,0.014183283
37,2.4259028,3.4686441,2.2977102,0.6491668
37.5,2.530362,1.8352678,2.7677152,0.83989024
38,1.4977944,3.4867947,1.1273,0.32430387
38.5,1.3688141,1.451872,1.5972112,0.7890694
39,3.1048281,3.5270336,2.6831381,0.8922794
39.5,2.5467167,3.5425045,2.7277331,0.47168636
40,2.7071872,3.4674244,3.004111,0.46863317
40.5,1.7884198,2.333347,1.5979506,0.40970623
41,1.8324885,3.4595408,2.456888,0.39836752
41.5,1.2857491,1.4353782,1.2127514,0.5419339
42,1.4363904,3.4829571,2.229793,0.2914319
42.5,2.2309203,2.0047724,2.2193472,0.17009461
43,1.2670631,3.4681401,1.517186,0.112072706
43.5,1.6279173,1.200628,1.9968942,0.54057217
44,1.3616515,3.4945316,0.46012858,0.41923785
44.5,2.2159922,1.5349386,2.3693147,0.3585229
45,3.006579,3.534021,1.8970474,0.1798408
45.5,4.1034846,4.579918,4.62095,0.012765169
46,4.809091,3.4682796,4.3809834,0.26323175
46.5,4.4561343,4.783665,4.5838537,0.06842756
47,4.1444383,3.432971,4.2738395,0.21862507
47.5,3.8949435,3.3136473,3.667275,0.13144231
48,3.3990288,3.4595175,3.5549154,0.15023589
48.5,3.8348494,3.2192228,3.6313465,0.08167362
49,3.274727,3.479878,2.934786,0.23391008
49.5,2.9688988,2.8904443,3.6638522,0.48199582
