time,fractal_energy,spiral_energy,toroid_energy,total_energy,amplification
0,0.0000007803724,0.01363319,0.00000070315457,0.013265953,19596.906
0.5,0.00198681,0.028398827,0.0019902224,0.02536959,37476.797
1,0.00717669,0.049711056,0.0061702398,0.04009001,59222.29
1.5,0.01468673,0.08755018,0.012271157,0.065550536,96833.42
2,0.023362046,0.105297804,0.019150527,0.07635014,112786.95
2.5,0.03585525,0.15534161,0.0277446,0.10767855,159066.31
3,0.043908976,0.16882922,0.039459847,0.11834308,174820.31
3.5,0.05662615,0.22066517,0.05052826,0.15055358,222402.73
4,0.06756894,0.22023399,0.06569012,0.16391364,242138.66
4.5,0.088291526,0.2756298,0.08284283,0.1935976,285988.78
5,0.105216384,0.28032172,0.10294877,0.20068587,296459.8
5.5,0.13562469,0.33903176,0.12176912,0.23298144,344167.9
6,0.1487959,0.34820905,0.13974625,0.2454303,362557.78
6.5,0.16746418,0.39901352,0.14870599,0.27736247,409729.03
7,0.17225766,0.39453492,0.16024174,0.28668973,423507.56
7.5,0.19928637,0.44748628,0.16893062,0.32146296,474875.72
8,0.22508928,0.44134372,0.18219475,0.33028477,487907.6
8.5,0.2660187,0.48290685,0.19905797,0.3687219,544688.2
9,0.3007158,0.49418744,0.21491908,0.3813582,563355
9.5,0.36734438,0.53817177,0.23957607,0.42166743,622901.06
10,0.3918892,0.5595656,0.2703049,0.43388596,640950.7
10.5,0.44176948,0.60851514,0.300537,0.48135743,711077.1
11,0.44768992,0.61966723,0.33092862,0.50177014,741231.44
11.5,0.45568636,0.68578786,0.34548864,0.55347276,817608.3
12,0.49526602,0.7421993,0.37568966,0.5824774,860454.9
12.5,0.55992734,0.8656525,0.4218701,0.64595324,954223.5
13,0.6074122,0.93521744,0.4351746,0.676356,999135.5
13.5,0.72786254,1.1203047,0.46326134,0.7533576,1112884.8
14,0.7851251,1.1908358,0.51132625,0.78319687,1156964.4
14.5,0.91047263,1.4687377,0.55795234,0.8701112,1285357.1
15,0.92333716,1.4918426,0.58514947,0.8995338,1328821.1
15.5,0.98094743,1.6870514,0.63602805,0.9896739,1461979.1
16,1.0263271,1.6940993,0.63814145,1.0193762,1505856.3
16.5,1.0984837,1.8305943,0.66069704,1.1085503,1637587.3
17,1.1733081,1.8143548,0.7307703,1.1252075,1662193.9
17.5,1.4282205,1.9766462,0.7883152,1.2070153,1783043
18,1.5355538,1.9847696,0.89633846,1.2153262,1795320.1
18.5,1.8459142,2.1168833,0.97640526,1.2935364,1910854.9
19,1.7852131,2.072681,1.0056936,1.2999731,1920363.4
19.5,1.700509,2.0917773,0.9906244,1.3554718,2002347.9
20,1.5877796,2.025635,1.0175133,1.3599905,2009023
20.5,1.6085707,2.0310352,1.0442549,1.413961,2088750.1
21,1.5445944,1.9774544,1.0682163,1.42321,2102413
21.5,1.6792802,2.0317369,1.0778058,1.4828854,2190567.3
22,1.6754014,1.9333228,1.0521537,1.4869794,2196615.3
22.5,1.884747,1.9756763,1.0589241,1.5493877,2288806.8
23,1.8429993,1.9432005,1.1435455,1.5500249,2289748
23.5,1.8886904,2.0491304,1.264805,1.6193026,2392087.5
24,1.7867011,2.0477638,1.3073115,1.6301006,2408038.5
24.5,1.7269403,2.1126053,1.3571864,1.7004651,2511983.3
25,1.7264601,2.1751082,1.34542,1.7099704,2526024.8
25.5,1.814539,2.3431578,1.3964717,1.7728224,2618872
26,1.830026,2.3922603,1.3928807,1.7772175,2625364.5
26.5,2.0386176,2.6447194,1.4584014,1.8375454,2714483
27,2.1194456,2.6746273,1.4675516,1.8278636,2700180.5
27.5,2.2992253,3.048571,1.5221314,1.8900464,2792039
28,2.263155,3.0424025,1.5060668,1.8677915,2759163.5
28.5,2.3009791,3.268838,1.6137863,1.9279052,2847965.5
29,2.3773444,3.252802,1.6500112,1.8970681,2802412
29.5,2.6216927,3.5042505,1.7105476,1.9625919,2899205.8
30,2.5895576,3.5093267,1.8891261,1.9393672,2864897.5
30.5,2.9805262,3.7966967,1.9611739,2.0114639,2971401
31,2.9088314,3.7310917,2.0305445,1.9847221,2931897.3
31.5,3.0815883,3.849207,2.0443666,2.0513113,3030265
32,2.7766986,3.5418077,1.9779894,2.036613,3008552.3
32.5,2.4877608,3.4453893,1.9355997,2.056423,3037816
33,2.3835096,3.3472416,1.995834,2.0533783,3033318.5
33.5,2.3008962,3.331838,1.9200145,2.074722,3064848.3
34,2.181353,3.024621,1.7200506,2.0410633,3015126.3
34.5,2.1202822,2.7617586,1.5843021,2.062489,3046777
35,2.0454047,2.670345,1.5490872,2.0302067,2999088.5
35.5,2.149564,2.801525,1.5692368,2.0582893,3040573
36,2.0728707,2.783462,1.7224704,2.040314,3014019.3
36.5,2.0769045,2.8969753,1.8381941,2.1142302,3123210.8
37,1.9980704,2.918701,1.7604812,2.0976005,3098644.8
37.5,1.9750125,3.012004,1.7892625,2.1514573,3178204
38,1.9472153,3.0737967,1.7603056,2.1576724,3187385.3
38.5,1.9766318,3.2023594,1.8263481,2.176876,3215753.5
39,1.9748704,3.2650597,1.8670262,2.160428,3191455.8
39.5,2.020108,3.5161324,1.8863721,2.1910782,3236733.3
40,2.0899043,3.4505854,1.7511129,2.174566,3212341
40.5,2.2203367,3.7649622,1.7314483,2.171402,3207667
41,2.261425,3.7898045,1.7253914,2.1492305,3174914.5
41.5,2.4855235,4.0106344,1.7912154,2.1984637,3247643.3
42,2.3855572,3.8163218,1.8947423,2.1490679,3174674.3
42.5,2.7801583,4.1520715,2.0749023,2.2220056,3282420.3
43,2.5220056,4.090088,2.2339735,2.2015116,3252146
43.5,2.9125063,4.3726287,2.2304761,2.252094,3326868
44,2.6624281,4.124038,2.2234764,2.231331,3296196.3
44.5,2.7413843,4.2520685,2.2738903,2.287772,3379572.5
45,2.5432715,4.0390105,2.3027778,2.2536476,3329162.8
45.5,2.3846476,4.0234504,2.332219,2.2527034,3327768
46,2.3621755,3.8629093,2.3648353,2.268646,3351319
46.5,2.3917062,3.8284454,2.19239,2.2489364,3322203.3
47,2.230951,3.428679,1.8950429,2.1922717,3238496.5
47.5,2.196875,3.3190534,1.7141604,2.2380886,3306178.5
48,2.047096,3.1429682,1.7933424,2.179029,3218933.8
48.5,2.1522868,3.1838002,1.9006802,2.2088003,3262913
49,2.060689,3.108003,1.9658886,2.2100453,3264752.3
49.5,2.1052597,3.1317956,2.0134308,2.277823,3364875.5
