time,detector1,detector2,detector3
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,0
0.35,0,0,0
0.4,0,0,0
0.45000002,0,0,0
0.5,0,0,0
0.55,0,0,0
0.6,0,0,0
0.65000004,0,0,0
0.7,0,0,0
0.75,0,0,0
0.8,0,0,0
0.85,0,0,0
0.90000004,0,0,0
0.95,0,0,0
1,0,0,0
1.0500001,0,0,0
1.1,0,0,0
1.15,0,0,0
1.2,0,0,0
1.25,0,0,0
1.3000001,0,0,0
1.35,0,0,0
1.4,0,0,0
1.45,0,0,0
1.5,0,0,0
1.5500001,0,0,0
1.6,0,0,0
1.65,0,0,0
1.7,0,0,0
1.75,0,0,0
1.8000001,0,0,0
1.85,0,0,0
1.9,0,0,0
1.95,0,0,0
2,0,0,0
2.05,0,0,0
2.1000001,0,0,0
2.15,0,0,0
2.2,0,0,0
2.25,0,0,0
2.3,0,0,0
2.3500001,0,0,0
2.4,0,0,0
2.45,0,0,0
2.5,0,0,0
2.55,0,0,0
2.6000001,0,0,0
2.65,0,0,0
2.7,0,0,0
2.75,0,0,0
2.8,0,0,0
2.8500001,0,0,0
2.9,0,0,0
2.95,0,0,0
3,0,0,0
3.05,0,0,0
3.1000001,0,0,0
3.15,0,0,0
3.2,0,0,0
3.25,0,0,0
3.3,0,0,0
3.3500001,0,0,0
3.4,0,0,0
3.45,0,0,0
3.5,0,0,0
3.55,0,0,0
3.6000001,0,0,0
3.65,0,0,0
3.7,0,0,0
3.75,0,0,0
3.8,0,0,0
3.8500001,0,0,0
3.9,0,0,0
3.95,0,0,0
4,0,0,0
4.05,0,0,0
4.1,0,0,0
4.15,0,0,0
4.2000003,0,0,0
4.25,0,0,0
4.3,0,0,0
4.35,0,0,0
4.4,0,0,0
4.4500003,0,0,0
4.5,0,0,0
4.55,0,0,0
4.6,0,0,0
4.65,0,0,0
4.7000003,0,0,0
4.75,0,0,0
4.8,0,0,0
4.85,0,0,0
4.9,0,0,0
4.9500003,0,0,0
5,0,0,0
5.05,0,0,0
5.1,0,0,0
5.15,0,0,0
5.2000003,0,0,0
5.25,0,0,0
5.3,0,0,0
5.35,0,0,0
5.4,0,0,0
5.4500003,0,0,0
5.5,0,0,0
5.55,0,0,0
5.6,0,0,0
5.65,0,0,0
5.7000003,0,0,0
5.75,0,0,0
5.8,0,0,0
5.85,0,0,0
5.9,0,0,0
5.9500003,0,0,0
6,0,0,0
6.05,0,0,0
6.1,0,0,0
6.15,0,0,0
6.2000003,0,0,0
6.25,0,0,0
6.3,0,0,0
6.35,0,0,0
6.4,0,0,0
6.4500003,0,0,0
6.5,0,0,0
6.55,0,0,0
6.6,0,0,0
6.65,0,0,0
6.7000003,0,0,0
6.75,0,0,0
6.8,0,0,0
6.85,0,0,0
6.9,0,0,0
6.9500003,0,0,0
7,0,0,0
7.05,0,0,0
7.1,0,0,0
7.15,0,0,0
7.2000003,0,0,0
7.25,0.00000023841858,0,0
7.3,0.00000047683716,0,0
7.35,0.00000071525574,0,0
7.4,0.0000009536743,0,0
7.4500003,0.0000011920929,0,0
7.5,0.0000014305115,0,0
7.55,0.00000166893,0,0
7.6,0.0000021457672,0,0
7.65,0.0000026226044,0,0
7.7000003,0.0000030994415,0,0
7.75,0.0000038146973,0,0
7.8,0.000004529953,0,0
7.85,0.0000054836273,0,0
7.9,0.00000667572,0,0
7.9500003,0.000008106232,0,0
8,0.000009536743,0,0
8.05,0.000011205673,0,0
8.1,0.00001335144,0,0
8.150001,0.000015735626,0,0
8.2,0.00001835823,0,0
8.25,0.000021457672,0,0
8.3,0.00002503395,0,0
8.35,0.000029087067,0,0
8.400001,0.00003361702,0,0
8.45,0.00003886223,0,0
8.5,0.000044822693,0,0
8.55,0.00005173683,0,0
8.6,0.000059366226,0,0
8.650001,0.000067949295,0,0
8.7,0.00007772446,0,0
8.75,0.00008869171,0,0
8.8,0.00010108948,0,0
8.85,0.000114917755,0,0
8.900001,0.00013041496,0,0
8.95,0.0001475811,0,0
9,0.000166893,0,0
9.05,0.00018835068,0,0
9.1,0.00021195412,0,0
9.150001,0.00023818016,0,0
9.2,0.0002670288,0,0
9.25,0.00029873848,0,0
9.3,0.0003335476,0,0
9.35,0.00037169456,0,0
9.400001,0.00041341782,0,0
9.45,0.00045895576,0,0
9.5,0.00050854683,0,0
9.55,0.0005624294,0,0
9.6,0.000620842,0,0
9.650001,0.0006840229,0,0
9.7,0.0007522106,0,0
9.75,0.00082564354,0,0
9.8,0.0009045601,0,0
9.85,0.0009891987,0,0
9.900001,0.0010797977,0,0
9.95,0.0011763573,0,0
10,0.0012791157,0,0
10.05,0.0013883114,0,0
10.1,0.0015039444,0,0
10.150001,0.0016260147,0,0
10.2,0.0017547607,0,0
10.25,0.0018901825,0,0
10.3,0.00203228,0,0
10.35,0.0021808147,0,0
10.400001,0.0023357868,0,0
10.45,0.0024971962,0,0
10.5,0.002664566,0,0
10.55,0.0028378963,0,0
10.6,0.0030169487,0,0
10.650001,0.0032012463,0,0
10.7,0.0033905506,0,0
10.75,0.003584385,0,0
10.8,0.0037822723,0,0
10.85,0.003983736,0,0
10.900001,0.004188299,0,0
10.95,0.004395008,0,0
11,0.004603386,0,0
11.05,0.004812956,0,0
11.1,0.005022764,0,0
11.150001,0.0052318573,0,0
11.2,0.00543952,0,0
11.25,0.0056450367,0,0
11.3,0.005847454,0,0
11.35,0.0060460567,0,0
11.400001,0.006239891,0,0
11.45,0.0064280033,0,0
11.5,0.0066096783,0,0
11.55,0.0067839622,0,0
11.6,0.00695014,0,0
11.650001,0.0071074963,0,0
11.7,0.007255554,0,0
11.75,0.00739336,0,0
11.8,0.0075204372,0,0
11.85,0.0076360703,0,0
11.900001,0.0077400208,0,0
11.95,0.007831812,0,0
12,0.007910967,0,0
12.05,0.007977486,0,0
12.1,0.00803113,0,0
